genomeNum,sbid,test1,test2,test3,test4,size
6,34,1,0,1,0,123
6,35,8,5,1,0,178
6,36,2,0,1,0,104
6,37,13,8,2,2,202
6,38,1,0,1,0,169
6,39,8,2,8,2,111
6,40,4,1,4,1,124
6,41,2,0,2,0,116
6,42,14,0,1,0,153
6,43,12,5,9,2,135
6,44,13,5,5,2,175
6,45,6,0,0,0,144
6,46,11,0,5,0,148
6,47,23,8,3,0,84
6,48,14,3,9,3,165
6,49,2,1,2,1,144
6,50,8,4,4,0,119
6,51,15,3,9,2,132
6,52,0,0,0,0,70
6,53,11,3,2,1,191
6,54,0,0,0,0,156
6,55,0,0,0,0,190
6,56,3,3,1,1,115
6,57,0,0,0,0,124
6,58,3,1,0,0,194
6,59,19,6,9,4,168
6,60,22,3,0,0,134
6,61,1,1,1,1,188
6,62,1,1,1,1,190
6,63,23,19,22,19,105
6,64,24,3,2,0,156
6,65,5,2,2,1,148
6,66,5,2,4,1,93
6,67,25,22,25,22,170
6,68,1,0,1,0,109
6,69,12,8,2,1,103
6,70,1,0,0,0,73
6,71,13,3,8,3,189
6,72,9,0,7,0,200
6,73,3,1,3,1,74
6,74,3,0,0,0,102
6,75,3,1,0,0,112
6,76,26,26,2,2,188
6,77,1,0,0,0,132
6,78,12,8,5,3,131
6,79,9,3,2,2,136
6,80,29,8,21,4,129
6,81,8,0,8,0,165
6,82,9,9,6,6,149
6,83,1,0,1,0,98
6,84,2,1,0,0,83
6,85,11,4,4,1,102
6,86,8,5,4,2,73
6,87,2,1,2,1,153
6,88,7,2,3,2,107
6,89,9,5,3,1,122
6,90,5,1,1,0,107
6,91,7,5,3,1,82
6,92,5,2,2,2,137
6,93,5,2,3,0,182
6,94,4,0,3,0,185
6,95,8,3,2,1,151
6,96,8,4,4,1,79
6,97,4,2,2,1,113
6,98,6,4,1,1,148
6,99,0,0,0,0,152
7,1,22,8,20,8,201
7,2,4,1,0,0,136
7,3,14,1,11,0,89
7,4,6,1,5,1,80
7,5,5,0,5,0,170
7,6,5,2,1,1,152
7,7,7,5,0,0,122
7,8,19,7,17,6,105
7,9,4,2,0,0,70
7,10,1,0,0,0,72
7,11,25,7,6,3,133
7,12,7,1,2,1,165
7,13,2,2,0,0,147
7,14,3,2,3,2,136
7,15,19,8,7,2,205
7,16,29,29,29,29,92
7,17,17,8,5,2,101
7,18,28,7,25,4,182
7,19,1,1,1,1,104
7,20,13,7,9,4,90
7,21,11,0,8,0,140
7,22,22,4,17,0,164
7,23,27,13,18,7,134
7,24,9,9,3,3,150
7,25,3,2,3,2,136
7,26,19,9,5,2,98
7,27,3,3,0,0,125
7,28,11,0,2,0,165
7,29,1,0,1,0,142
7,30,15,3,13,2,187
7,31,15,4,11,3,198
7,32,5,5,4,4,137
7,33,6,2,6,2,103
7,34,12,3,9,1,115
7,35,2,0,1,0,204
7,36,3,0,2,0,161
7,37,13,0,6,0,122
7,38,25,11,11,1,174
7,39,4,1,4,1,117
7,40,9,3,7,3,69
7,41,17,4,17,4,137
7,42,4,4,4,4,123
7,43,3,0,2,0,107
7,44,12,6,6,2,208
7,45,13,9,2,2,101
7,46,11,2,0,0,147
7,47,8,2,4,2,175
7,48,10,4,4,0,155
7,49,2,0,0,0,187
7,50,4,3,1,1,166
7,51,14,2,8,1,125
7,52,3,0,1,0,185
7,53,0,0,0,0,115
7,54,0,0,0,0,143
7,55,1,0,1,0,102
7,56,0,0,0,0,104
7,57,4,2,2,1,146
7,58,7,1,7,1,186
7,59,7,5,0,0,157
7,60,10,7,4,3,78
7,61,22,6,0,0,109
7,62,5,3,4,3,125
7,63,4,1,4,1,139
7,64,3,0,2,0,83
7,65,7,1,7,1,138
7,66,39,22,39,22,125
7,67,41,6,8,2,182
7,68,1,0,0,0,71
7,69,3,2,3,2,91
7,70,19,13,19,13,173
7,71,11,4,3,2,202
7,72,8,1,6,1,179
7,73,5,1,5,1,177
7,74,0,0,0,0,186
7,75,5,0,4,0,169
7,76,24,15,18,10,146
7,77,25,25,1,1,84
7,78,0,0,0,0,157
7,79,19,11,1,0,184
7,80,12,6,4,0,71
7,81,17,7,7,3,103
7,82,1,0,1,0,187
7,83,3,3,3,3,89
7,84,7,5,2,2,182
7,85,11,4,5,1,138
7,86,15,7,8,4,168
7,87,6,4,6,4,143
7,88,9,6,5,2,90
7,89,2,0,0,0,93
7,90,7,6,6,6,168
7,91,2,0,2,0,105
7,92,2,0,0,0,74
7,93,0,0,0,0,167
7,94,7,0,3,0,138
7,95,8,6,2,2,109
7,96,3,1,0,0,134
7,97,8,5,2,2,187
7,98,0,0,0,0,138
7,99,0,0,0,0,72
8,1,2,2,2,2,92
8,2,38,14,31,10,98
8,3,3,0,0,0,161
8,4,6,5,0,0,158
8,5,7,0,1,0,108
8,6,1,1,1,1,124
8,7,1,0,0,0,78
8,8,20,11,2,2,170
8,9,1,0,1,0,112
8,10,19,5,6,3,179
8,11,2,0,2,0,88
8,12,1,1,1,1,94
8,13,3,2,0,0,170
8,14,11,3,4,3,168
8,15,1,1,0,0,85
8,16,37,37,33,33,202
8,17,18,12,4,2,74
8,18,12,9,11,9,156
8,19,8,0,8,0,177
8,20,1,1,0,0,94
8,21,13,4,8,2,193
8,22,13,11,2,1,100
8,23,14,4,13,4,134
8,24,5,3,5,3,82
8,25,3,2,3,2,74
8,26,14,0,10,0,142
8,27,17,14,5,3,148
8,28,17,13,17,13,186
8,29,13,7,2,0,183
8,30,9,3,7,2,147
8,31,13,1,2,0,116
8,32,4,1,4,1,199
8,33,22,10,8,3,198
8,34,7,3,4,1,88
8,35,8,0,8,0,111
8,36,1,1,0,0,110
8,37,0,0,0,0,188
8,38,12,9,2,2,159
8,39,23,0,23,0,89
8,40,4,2,4,2,108
8,41,24,4,22,4,115
8,42,8,4,4,2,139
8,43,2,0,2,0,152
8,44,5,5,4,4,92
8,45,8,4,2,1,145
8,46,17,6,7,2,146
8,47,9,2,3,2,164
8,48,15,3,7,3,125
8,49,17,6,12,3,122
8,50,9,0,5,0,159
8,51,6,6,1,1,194
8,52,17,4,9,3,130
8,53,0,0,0,0,134
8,54,12,2,0,0,164
8,55,0,0,0,0,159
8,56,0,0,0,0,149
8,57,3,2,1,1,184
8,58,0,0,0,0,77
8,59,6,1,4,0,162
8,60,2,0,0,0,110
8,61,17,11,7,6,126
8,62,25,0,3,0,160
8,63,0,0,0,0,110
8,64,4,3,4,3,140
8,65,10,1,10,1,131
8,66,43,32,42,32,93
8,67,41,7,9,2,202
8,68,4,3,1,1,198
8,69,14,7,14,7,80
8,70,1,1,1,1,155
8,71,13,7,3,1,145
8,72,5,0,0,0,78
8,73,9,0,8,0,113
8,74,5,1,5,1,190
8,75,3,1,1,0,193
8,76,1,1,1,1,83
8,77,21,12,13,7,127
8,78,27,27,1,1,134
8,79,1,0,0,0,113
8,80,0,0,0,0,73
8,81,20,11,1,0,157
8,82,10,5,0,0,87
8,83,30,6,26,6,197
8,84,4,0,4,0,127
8,85,5,5,2,2,175
8,86,0,0,0,0,97
8,87,12,8,5,1,182
8,88,5,2,5,2,147
8,89,6,0,2,0,167
8,90,21,11,5,3,201
8,91,5,0,5,0,78
8,92,4,2,2,0,174
8,93,1,0,1,0,144
8,94,3,2,3,2,185
8,95,21,7,6,0,81
8,96,10,8,2,2,197
8,97,7,4,2,1,128
8,98,0,0,0,0,106
8,99,3,0,3,0,83
9,1,13,6,10,5,160
9,2,7,2,4,0,196
9,3,5,5,0,0,175
9,4,5,0,0,0,101
9,5,2,0,1,0,198
9,6,17,4,7,0,186
9,7,1,0,0,0,89
9,8,1,0,0,0,115
9,9,25,13,6,4,98
9,10,6,2,2,2,196
9,11,0,0,0,0,186
9,12,3,3,3,3,77
9,13,27,11,10,4,169
9,14,17,2,13,2,70
9,15,29,9,15,1,172
9,16,5,0,3,0,73
9,17,22,1,20,1,153
9,18,10,2,9,1,200
9,19,16,5,15,5,122
9,20,4,3,2,1,120
9,21,35,17,24,7,94
9,22,5,3,5,3,127
9,23,3,2,3,2,118
9,24,10,5,6,1,121
9,25,17,14,5,3,142
9,26,15,12,12,9,136
9,27,4,4,4,4,90
9,28,17,8,3,1,196
9,29,8,1,6,0,163
9,30,7,1,2,0,179
9,31,11,7,4,0,185
9,32,1,1,0,0,68
9,33,7,2,3,0,70
9,34,0,0,0,0,97
9,35,1,0,0,0,115
9,36,5,1,5,1,127
9,37,5,0,0,0,162
9,38,32,11,20,1,172
9,39,4,2,4,2,121
9,40,21,13,17,10,146
9,41,7,4,4,1,82
9,42,1,0,0,0,176
9,43,12,8,6,4,175
9,44,13,8,4,3,139
9,45,11,0,1,0,197
9,46,12,1,4,1,126
9,47,18,5,11,0,82
9,48,12,0,5,0,159
9,49,3,0,3,0,72
9,50,6,5,1,0,191
9,51,14,2,9,1,134
9,52,0,0,0,0,159
9,53,10,4,0,0,135
9,54,4,1,4,1,84
9,55,0,0,0,0,131
9,56,0,0,0,0,121
9,57,3,3,1,1,91
9,58,0,0,0,0,116
9,59,1,0,0,0,158
9,60,4,1,1,0,117
9,61,17,9,7,4,134
9,62,17,0,3,0,184
9,63,4,4,4,4,187
9,64,0,0,0,0,131
9,65,42,38,41,38,160
9,66,33,4,4,0,161
9,67,3,1,2,1,162
9,68,11,7,11,7,119
9,69,30,16,30,16,69
9,70,0,0,0,0,99
9,71,13,5,3,2,121
9,72,7,1,5,1,197
9,73,19,3,13,3,155
9,74,1,0,0,0,177
9,75,3,1,2,0,150
9,76,22,12,15,7,175
9,77,27,27,1,1,117
9,78,1,0,0,0,88
9,79,12,9,5,3,131
9,80,2,0,0,0,79
9,81,8,6,0,0,158
9,82,3,2,0,0,87
9,83,9,2,9,2,118
9,84,9,9,6,6,183
9,85,3,0,3,0,118
9,86,9,4,4,1,142
9,87,15,6,9,3,175
9,88,7,1,5,1,168
9,89,10,3,4,0,162
9,90,4,1,0,0,70
9,91,12,5,10,5,127
9,92,4,2,2,0,178
9,93,5,0,5,0,101
9,94,2,0,2,0,200
9,95,10,5,1,0,131
9,96,1,1,0,0,78
9,97,9,6,3,2,175
9,98,0,0,0,0,108
9,99,0,0,0,0,114
10,1,15,6,12,6,169
10,2,20,13,18,11,202
10,3,2,1,1,0,142
10,4,0,0,0,0,87
10,5,1,0,1,0,187
10,6,4,1,1,0,91
10,7,7,0,5,0,192
10,8,5,2,0,0,112
10,9,22,12,8,5,155
10,10,1,1,1,1,136
10,11,2,2,0,0,167
10,12,3,2,2,2,91
10,13,36,29,9,7,149
10,14,40,15,35,11,139
10,15,29,10,15,1,154
10,16,28,7,25,4,183
10,17,2,0,0,0,68
10,18,13,8,11,7,136
10,19,19,1,14,1,173
10,20,37,6,23,0,190
10,21,1,1,1,1,89
10,22,12,7,6,2,159
10,23,24,11,16,4,181
10,24,3,3,0,0,91
10,25,12,9,9,6,125
10,26,4,4,4,4,151
10,27,13,3,8,1,182
10,28,12,1,5,0,191
10,29,7,0,5,0,157
10,30,9,2,4,0,111
10,31,7,7,5,5,78
10,32,12,4,10,2,152
10,33,2,0,1,0,173
10,34,7,1,7,1,100
10,35,0,0,0,0,180
10,36,32,11,18,1,171
10,37,6,1,3,1,171
10,38,22,6,21,6,90
10,39,1,0,1,0,68
10,40,6,2,6,2,185
